3
2017-08-01 08:00:00+02;2401;Berlin
2017-08-01 09:55:31+02;2424;Berlin
2017-08-01 10:27:25+02;3111;Teltow
2017-08-01 11:02:43+02;3136;Potsdamm
2017-08-01 11:48:16+02;3300;Blankenfelde-Mahlow
2017-08-01 12:20:23+02;3355;Wildau
2017-08-01 12:52:37+02;2985;Erkner
2017-08-01 13:33:03+02;2994;Petershagen/Eggersdorf
2017-08-01 14:34:02+02;2573;Altlandsberg
2017-08-01 15:09:58+02;2406;Werneuchen
2017-08-01 18:11:52+02;2428;Panketal
2017-08-01 19:45:57+02;2155;Wandlitz
2017-08-02 08:00:00+02;2251;Oranienburg
2017-08-02 10:18:45+02;2504;Falkensee
2017-08-02 11:45:18+02;2510;Berlin
