7
2017-08-01 08:00:00+02;5379;Duisburg
2017-08-01 09:55:31+02;5522;Essen 
2017-08-01 10:27:25+02;5523;Bochum
2017-08-01 11:02:43+02;5517;Dortmund
2017-08-01 11:48:16+02;6053;Hagen
2017-08-01 12:20:23+02;6472;Wuppertal
2017-08-01 12:52:37+02;6842;Solingen
2017-08-01 13:33:03+02;7290;Leverkusen
2017-08-01 14:34:02+02;7312;K�ln
2017-08-01 15:09:58+02;8442;Bonn
2017-08-01 16:02:10+02;7819;Kerpen
2017-08-01 18:11:52+02;6769;M�nchengladbach
2017-08-01 19:45:57+02;6145;Krefeld
2017-08-02 08:00:00+02;6342;Ratingen
2017-08-02 10:18:45+02;5663;Essen 
2017-08-02 11:45:18+02;5524;Gelsenkirchen
2017-08-02 12:28:50+02;5997;Iserlohn
