3
2017-08-01 08:00:00+02;2698;Gifhorn
2017-08-01 09:55:31+02;2827;Uetze
2017-08-01 10:27:25+02;2890;Burgdorf
2017-08-01 11:02:43+02;3117;Lehrte
2017-08-01 11:48:16+02;3258;Sehnde
2017-08-01 12:20:23+02;3261;Peine
2017-08-01 12:52:37+02;3561;Vechelde
2017-08-01 13:33:03+02;3737;Salzgitter
2017-08-01 14:34:02+02;3806;Wolfenbüttel
2017-08-01 16:02:10+02;3329;Braunschweig
2017-08-01 18:11:52+02;3585;Cremlingen
2017-08-02 08:00:00+02;2912;Isenbüttel
2017-08-02 10:18:45+02;3135;Ehmen
2017-08-02 11:45:18+02;3204;Wolfsburg
2017-08-02 12:28:50+02;2870;Weyhausen
