5
2017-08-01 08:00:00+02;136;Kiel
2017-08-01 09:55:31+02;379;Neumünster
2017-08-01 10:27:25+02;737;Hamburg
2017-08-01 11:02:43+02;1585;Lüneburg
2017-08-01 11:48:16+02;1991;Soltau
2017-08-01 12:20:23+02;2379;Celle
2017-08-01 12:52:37+02;2968;Hannover
2017-08-01 13:33:03+02;3774;Hildesheim
2017-08-01 14:34:02+02;4378;Gosslar
2017-08-01 15:09:58+02;5330;Göttingen
2017-08-01 16:02:10+02;6337;Kassel
2017-08-01 18:11:52+02;8010;Bad Hersfeld
2017-08-01 19:45:57+02;8867;Fulda
2017-08-02 08:00:00+02;9524;Bad Orb
2017-08-02 10:18:45+02;9595;Frankfurt
2017-08-02 11:45:18+02;10299;Darmstadt
2017-08-02 12:28:50+02;10774;Worms
2017-08-02 15:09:58+02;11308;Heidelberg
2017-08-02 16:02:10+02;11952;Heilbronn
2017-08-02 18:11:52+02;12677;Stuttgart
2017-08-02 19:45:57+02;13470;Reutlingen
2017-08-03 08:00:00+02;13612;Ulm
2017-08-03 10:18:45+02;14612;Memmingen
2017-08-03 11:45:18+02;14013;Dachau
2017-08-03 12:28:50+02;13701;Augsburg
