3
2017-08-01 08:00:00+02;3341;Rheine
2017-08-01 09:55:31+02;3140;Spelle
2017-08-01 10:27:25+02;2811;Freren
2017-08-01 11:02:43+02;2677;Lingen
2017-08-01 11:48:16+02;2494;Geeste
2017-08-01 12:20:23+02;2461;Bawinkel
2017-08-01 12:52:37+02;2344;Haselünne
2017-08-01 13:33:03+02;2356;Meppen
2017-08-01 14:34:02+02;2304;Twist
2017-08-01 15:09:58+02;2312;Meppen
2017-08-01 16:02:10+02;2180;Haren
2017-08-01 18:11:52+02;2149;Niederlangen
2017-08-01 19:45:57+02;2135;Lathen
2017-08-02 08:00:00+02;1918;Aschendorf
2017-08-02 10:18:45+02;1815;Papenburg
2017-08-02 11:45:18+02;1703;Rhauderfehn
2017-08-02 12:28:50+02;1572;Leer
