9
2017-08-01 08:00:00+02;6048;Leipzig
2017-08-01 09:55:31+02;6628;Weißenfels
2017-08-01 10:27:25+02;7309;Zeitz
2017-08-01 11:02:43+02;7863;Gera
2017-08-01 11:48:16+02;7888;Jena
2017-08-01 12:52:37+02;7390;Erfurt
2017-08-01 13:33:03+02;8621;Illmenau
2017-08-01 14:34:02+02;8747;Suhl
2017-08-01 14:54:02+02;8713;Tann
2017-08-01 15:09:58+02;8867;Fulda
2017-08-01 16:02:10+02;9581;Bad Kissingen
2017-08-01 18:11:52+02;10488;Würzbug
2017-08-01 19:45:57+02;10215;Aschaffenburg
2017-08-02 08:00:00+02;9595;Frankfurt
2017-08-02 10:18:45+02;10299;Darmstaft
2017-08-02 11:45:18+02;11308;Heidelberg
2017-08-02 12:28:50+02;11952;Heilbronn
2017-08-02 13:28:50+02;12677;Stuttgart
