3
2017-08-01 08:00:00+02;113;Husum
2017-08-01 09:55:31+02;81;Bredstedt
2017-08-01 10:27:25+02;66;Langenhorn
2017-08-01 11:02:43+02;38;Leck
2017-08-01 11:48:16+02;2494;Humptrup
2017-08-01 12:20:23+02;10;Braderup
2017-08-01 12:52:37+02;46;Schafflund
2017-08-01 13:33:03+02;30;Handewitt
2017-08-01 14:34:02+02;36;Flensburg
2017-08-01 15:09:58+02;60;Wanderup
2017-08-01 16:02:10+02;87;Tolk
2017-08-01 18:11:52+02;92;Schleswig
2017-08-01 19:45:57+02;120;Busdorf
2017-08-02 08:00:00+02;102;Silberstedt
2017-08-02 10:18:45+02;103;Treia
2017-08-02 11:45:18+02;125;Ostenfeld
2017-08-02 12:28:50+02;114;Husum
