3
2017-08-01 08:00:00+02;1642;Bremen
2017-08-01 09:55:31+02;1661;Oldenburg
2017-08-01 10:27:25+02;1669;Bad Zwischenahn
2017-08-01 11:02:43+02;3398;Osnabrück
2017-08-01 11:48:16+02;4165;Münster
2017-08-01 12:20:23+02;4167;Bielefeld
2017-08-01 12:52:37+02;2968;Hannover
2017-08-01 13:33:03+02;5330;Göttingen
2017-08-01 14:34:02+02;7465;Erfurt
2017-08-01 15:09:58+02;10302;Bamberg
2017-08-01 16:02:10+02;12188;Regensburg
2017-08-01 18:11:52+02;12868;Ingolstadt
2017-08-01 19:45:57+02;14796;Rosenheim
2017-08-02 08:00:00+02;14997;Kempten
2017-08-02 10:18:45+02;10299;Darmstadt
2017-08-02 11:45:18+02;13612;Ulm
2017-08-02 12:28:50+02;12677;Stuttgart
2017-08-02 13:28:50+02;10955;Mannheim
